1887,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,cSCI
Gpr183,1.57E-06,1.032285904,0.068,0.043,0.041733862,0,0
Ptger4,4.31E-16,1.030475619,0.169,0.108,1.15E-11,0,0
Igsf6,1.68E-06,0.995513812,0.069,0.044,0.044601979,0,0
C630031E19Rik,5.06E-15,0.982290447,0.192,0.133,1.35E-10,0,0
Pkd1l3,1.11E-11,0.966111911,0.112,0.068,2.94E-07,0,0
A430090L17Rik,3.81E-30,0.965568571,0.301,0.2,1.01E-25,0,0
4933407I08Rik,9.00E-17,0.96366922,0.188,0.123,2.39E-12,0,0
Slc26a10,3.53E-09,0.950087881,0.091,0.056,9.39E-05,0,0
Nrip1,3.53E-51,0.948911584,0.442,0.306,9.37E-47,0,0
Hsd3b3,2.87E-31,0.946066603,0.335,0.23,7.62E-27,0,0
Tent5d,7.46E-11,0.936327369,0.099,0.06,1.98E-06,0,0
Eps8l1,4.13E-10,0.930738288,0.101,0.063,1.10E-05,0,0
Trf,3.49E-19,0.929664131,0.216,0.142,9.28E-15,0,0
Trpc6,1.59E-42,0.929656028,0.468,0.342,4.21E-38,0,0
Plcxd3,3.25E-11,0.929026715,0.196,0.146,8.64E-07,0,0
5830432E09Rik,3.12E-21,0.92737112,0.221,0.142,8.30E-17,0,0
Zfp462,2.97E-29,0.919655998,0.336,0.237,7.91E-25,0,0
Slc16a14,4.62E-12,0.917241878,0.116,0.071,1.23E-07,0,0
A230009B12Rik,7.77E-10,0.916842179,0.121,0.08,2.06E-05,0,0
Acss1,6.87E-26,0.906405521,0.285,0.191,1.83E-21,0,0
Filip1l,2.65E-23,0.900263431,0.331,0.245,7.05E-19,0,0
Hsd3b6,8.91E-07,0.899226384,0.06,0.036,0.02369504,0,0
Csmd2os,2.14E-42,0.895290033,0.401,0.276,5.68E-38,0,0
4933400F21Rik,1.35E-12,0.893335075,0.182,0.128,3.59E-08,0,0
1700110K17Rik,3.66E-20,0.889596526,0.256,0.178,9.72E-16,0,0
Lysmd4,2.14E-56,0.887294409,0.563,0.428,5.70E-52,0,0
Scn9a,1.57E-21,0.883191497,0.313,0.23,4.17E-17,0,0
Fam111a,6.53E-12,0.882699643,0.145,0.095,1.74E-07,0,0
Dnah17,9.64E-10,0.877020583,0.107,0.068,2.56E-05,0,0
Htr2b,1.37E-12,0.873824883,0.184,0.131,3.64E-08,0,0
Tsix,8.87E-65,0.872250488,0.651,0.546,2.36E-60,0,0
Shisa6,2.24E-13,0.866012257,0.234,0.174,5.95E-09,0,0
Olfml2b,1.38E-10,0.855528931,0.135,0.09,3.68E-06,0,0
Nxpe2,2.63E-13,0.852700513,0.183,0.126,6.99E-09,0,0
Megf11,4.45E-10,0.846127213,0.143,0.099,1.18E-05,0,0
Tbc1d16,3.15E-07,0.845338258,0.136,0.101,0.008383054,0,0
9130015G15Rik,1.93E-11,0.835037039,0.158,0.109,5.12E-07,0,0
4932443L11Rik,5.31E-45,0.828673484,0.486,0.358,1.41E-40,0,0
Plekhh2,2.72E-23,0.827144413,0.273,0.184,7.24E-19,0,0
Grin3a,4.64E-07,0.815095543,0.157,0.122,0.012322865,0,0
4933432K03Rik,7.24E-35,0.790093101,0.462,0.356,1.93E-30,0,0
Glp2r,4.94E-39,0.764955972,0.499,0.378,1.31E-34,0,0
Spata2,4.14E-18,0.744111954,0.289,0.216,1.10E-13,0,0
Asb14,5.42E-07,0.741929579,0.108,0.076,0.014399009,0,0
Lonrf3,4.49E-13,0.738349338,0.179,0.122,1.19E-08,0,0
Uchl4,1.14E-10,0.732043102,0.146,0.099,3.03E-06,0,0
4921511I17Rik,1.81E-21,0.730438302,0.355,0.27,4.81E-17,0,0
Angptl1,1.11E-06,0.726930845,0.122,0.089,0.029425343,0,0
Timp3,1.33E-18,0.711602546,0.367,0.289,3.55E-14,0,0
Lrtm1,8.61E-91,0.706141907,0.826,0.719,2.29E-86,0,0
4930419G24Rik,2.14E-180,0.705529096,0.983,0.937,5.69E-176,0,0
1700037C18Rik,2.21E-09,0.703822518,0.231,0.184,5.87E-05,0,0
Ypel1,6.11E-10,0.701836833,0.222,0.173,1.62E-05,0,0
Spidr,6.91E-07,0.688805818,0.09,0.061,0.018371478,0,0
Stab2,1.18E-07,0.688329865,0.142,0.104,0.003144107,0,0
Rsf1os2,1.86E-16,0.687794956,0.323,0.249,4.93E-12,0,0
5330434G04Rik,1.93E-28,0.676649098,0.552,0.467,5.12E-24,0,0
Bche,9.05E-09,0.668299609,0.208,0.162,0.000240686,0,0
Hpgds,4.67E-16,0.658789463,0.356,0.285,1.24E-11,0,0
Atxn7l1os1,6.41E-10,0.658254037,0.203,0.154,1.70E-05,0,0
Cd55,2.63E-08,0.651505034,0.122,0.084,0.000698724,0,0
3200001D21Rik,1.17E-07,0.647993376,0.154,0.115,0.003122273,0,0
Pigf,1.68E-12,0.634013224,0.285,0.226,4.46E-08,0,0
4933407E24Rik,4.79E-07,0.631237171,0.186,0.148,0.012728932,0,0
Tespa1,3.07E-07,0.629332272,0.208,0.168,0.008172038,0,0
Rsf1os1,4.03E-31,0.627054454,0.545,0.451,1.07E-26,0,0
Timp4,1.86E-23,0.622117275,0.46,0.376,4.94E-19,0,0
Gpr18,1.44E-07,0.610957835,0.245,0.204,0.00382886,0,0
4930567K12Rik,1.18E-21,0.605745832,0.471,0.39,3.15E-17,0,0
Camkv,2.91E-43,0.604897726,0.636,0.547,7.73E-39,0,0
Slc41a1,8.89E-10,0.60243002,0.185,0.135,2.36E-05,0,0
4930557K07Rik,2.70E-10,0.602145283,0.293,0.241,7.17E-06,0,0
Pard3,1.65E-50,0.601768438,0.697,0.599,4.38E-46,0,0
Tmc7,3.81E-13,0.601205463,0.307,0.243,1.01E-08,0,0
Papss2,9.20E-09,0.599387098,0.236,0.188,0.000244536,0,0
Hlf,2.10E-30,0.598187857,0.536,0.444,5.57E-26,0,0
Srrm4,3.97E-56,0.593383516,0.741,0.655,1.05E-51,0,0
Slc18a2,3.00E-07,0.592668865,0.211,0.172,0.007976551,0,0
Ripor2,4.63E-38,0.590584065,0.608,0.508,1.23E-33,0,0
Caln1,6.03E-73,0.588583969,0.875,0.837,1.60E-68,0,0
Hectd2os,7.18E-50,0.637436378,0.685,0.586,1.91E-45,-0.334749888,0
1700109K24Rik,1.60E-70,0.869416509,0.649,0.521,4.26E-66,-0.35176655,0
1700024B18Rik,1.54E-33,0.580449642,0.638,0.556,4.09E-29,-0.364972062,0
Ckmt2,4.01E-11,0.711433435,0.164,0.113,1.07E-06,-0.370886586,0
Ccr9,1.13E-08,0.903995895,0.129,0.091,0.000299789,-0.385401338,0
Hao2,1.77E-13,1.345864566,0.071,0.033,4.72E-09,-0.386651064,0
Abhd15,3.51E-07,1.146478034,0.057,0.033,0.009335204,-0.391075549,0
Ptprk,1.38E-06,0.740133903,0.143,0.108,0.036685355,-0.392115228,0
Lrrtm1,4.00E-47,0.837801342,0.525,0.406,1.06E-42,-0.394958795,0
Hsd3b2,3.18E-16,0.988245937,0.145,0.086,8.46E-12,-0.397196367,0
Serpind1,7.16E-12,0.846324205,0.124,0.077,1.90E-07,-0.416717599,0
4831440D22Rik,6.19E-13,0.891879388,0.183,0.127,1.65E-08,-0.423941863,0
Gins2,1.62E-07,0.874923617,0.08,0.051,0.004299893,-0.447698008,0
Grip1os2,2.19E-10,0.980503781,0.098,0.059,5.82E-06,-0.448292951,0
4930579G18Rik,3.63E-15,0.826940317,0.22,0.156,9.64E-11,-0.467810348,0
4930443O20Rik,5.85E-13,1.087037763,0.11,0.065,1.55E-08,-0.514390437,0
9630013A20Rik,7.39E-11,0.76786059,0.185,0.134,1.97E-06,-0.539242658,0
Slco6c1,3.41E-10,0.843372335,0.133,0.089,9.06E-06,-0.543919253,0
Ptgis,1.37E-17,0.909497983,0.194,0.126,3.65E-13,-0.557319397,0
4930547E14Rik,1.40E-06,0.626597477,0.205,0.168,0.037258602,-0.566860278,0
Macrod2os1,9.51E-74,0.954667894,0.595,0.437,2.53E-69,-0.566940456,0
Plxna4os2,2.40E-08,1.178866975,0.054,0.029,0.000637696,-0.586983698,0
4930587E11Rik,2.45E-45,0.655711664,0.72,0.633,6.51E-41,-0.591146257,0
Cdr1,1.25E-08,0.719232297,0.118,0.079,0.000332655,-0.708875077,0
Smim1,1.01E-09,0.932296592,0.115,0.075,2.70E-05,-0.733486101,0
E530011L22Rik,1.01E-23,0.748834438,0.379,0.293,2.67E-19,-0.781288311,0
Pcsk2os2,3.20E-10,0.601601462,0.33,0.284,8.50E-06,-0.787720673,0
4930428E07Rik,3.09E-11,0.926056652,0.151,0.104,8.22E-07,0,0.340764722
Ciita,1.14E-12,0.834163361,0.203,0.148,3.02E-08,0,0.365634174
1700125G02Rik,7.25E-09,0.831112864,0.086,0.053,0.00019271,0,0.377736741
Bcl6,2.38E-45,0.759589019,0.528,0.399,6.33E-41,0,0.381905321
1500035N22Rik,2.88E-63,0.988136047,0.523,0.368,7.64E-59,0,0.381981572
Pdzrn4,7.63E-36,0.583023798,0.769,0.742,2.03E-31,0,0.428535956
Cotl1,3.20E-09,0.711864792,0.203,0.156,8.50E-05,0,0.441654205
4930532I03Rik,1.05E-31,0.823079726,0.375,0.267,2.80E-27,0,0.456190726
Amy1,3.02E-32,0.597192139,0.556,0.472,8.02E-28,0,0.472127956
Adamtsl4,8.78E-14,1.119383888,0.086,0.044,2.33E-09,0,0.488120727
Dennd2a,5.58E-10,0.62566531,0.23,0.179,1.48E-05,0.528856939,0.495760188
Klf12,5.71E-173,0.788452751,0.915,0.851,1.52E-168,0,0.497794961
4930517O19Rik,1.32E-66,0.824722868,0.64,0.502,3.52E-62,0,0.552758639
AC163685.1,7.45E-23,0.587913126,0.516,0.44,1.98E-18,0,0.585227017
Dapp1,6.60E-12,1.355704676,0.06,0.028,1.75E-07,0,0.597374795
C030017B01Rik,1.34E-09,0.708020756,0.119,0.078,3.56E-05,0,0.617896546
Adra1b,3.46E-21,0.73561308,0.29,0.206,9.20E-17,0,0.626127493
E330018M18Rik,4.82E-19,1.123820576,0.172,0.104,1.28E-14,0,0.649753753
Slc7a14,3.02E-62,0.646055297,0.722,0.62,8.03E-58,0,0.655423967
Xkr4,6.59E-225,0.762607586,0.976,0.954,1.75E-220,0,0.656732962
Smarca2,5.66E-45,0.598263666,0.697,0.62,1.51E-40,0,0.660846486
Kctd16,2.50E-114,0.659807332,0.923,0.873,6.64E-110,0,0.705428508
1700026F02Rik,2.23E-11,1.015558534,0.156,0.108,5.93E-07,0,0.730336408
Aff1,1.13E-13,0.805626824,0.182,0.124,3.00E-09,0.373540334,0.735640541
Nuak1,3.22E-35,0.664026532,0.565,0.474,8.56E-31,0,0.743549464
Cdkl4,4.16E-21,0.894610588,0.267,0.186,1.11E-16,0,0.763388763
Rassf8,6.07E-48,0.691843171,0.685,0.593,1.61E-43,0,0.781529161
Dgkg,3.14E-89,0.656276943,0.897,0.847,8.35E-85,0,0.803790281
St5,1.21E-13,0.693222202,0.199,0.139,3.21E-09,0,0.807910566
Ube2e2,5.53E-276,0.629799818,0.999,0.999,1.47E-271,0,0.830775795
Kitl,3.02E-12,0.739757155,0.171,0.117,8.04E-08,0,0.907245004
Sdk2,9.27E-133,0.606894369,0.939,0.889,2.46E-128,0.589319569,0.915508712
Plat,3.71E-25,0.766420115,0.332,0.237,9.87E-21,0,0.960027988
Ypel4,1.00E-31,0.791906427,0.401,0.293,2.67E-27,0,1.008637511
Mei4,8.50E-08,0.78708945,0.162,0.123,0.002261086,0,1.030653942
Wscd2,3.09E-29,0.648680816,0.508,0.416,8.22E-25,0.455027034,1.067876397
Sh2d3c,5.02E-21,0.649177687,0.344,0.256,1.33E-16,0,1.080225131
Lnx2,3.81E-27,0.789342231,0.359,0.262,1.01E-22,0.508634778,1.092453662
Ttc39c,8.11E-26,0.706302351,0.355,0.26,2.16E-21,0.46329767,1.131295879
Pea15a,2.62E-10,0.593970216,0.309,0.257,6.98E-06,0,1.182259167
Gpr137c,6.00E-129,0.840218192,0.809,0.661,1.60E-124,0.368025075,1.20067814
Rhoq,2.30E-40,0.780226747,0.514,0.408,6.10E-36,0.444520425,1.212838987
Itga8,8.75E-10,1.003858704,0.07,0.038,2.33E-05,0.381719328,1.25066176
4933406B15Rik,2.80E-08,1.077529389,0.086,0.054,0.00074566,0.617864469,1.263467231
Anln,8.36E-21,1.624385551,0.084,0.034,2.22E-16,0.522471677,1.265091741
AC171003.1,1.29E-19,1.035680107,0.204,0.132,3.42E-15,0.771982464,1.271512528
Inpp4b,2.19E-36,0.631998606,0.582,0.483,5.83E-32,0.397193832,1.280483482
Bmp1,3.75E-19,0.622676647,0.334,0.249,9.97E-15,0.669428363,1.295488444
Ccdc171,7.09E-54,0.835156028,0.631,0.541,1.89E-49,0.474490883,1.386931704
Fam129b,4.88E-22,0.865566537,0.236,0.152,1.30E-17,0.701503774,1.401287554
Eif2ak3,1.42E-41,0.697466488,0.585,0.491,3.77E-37,0.438101498,1.454799317
Sox2ot,8.42E-15,0.581450693,0.442,0.38,2.24E-10,0.553690681,1.473174881
Cenpa,6.15E-13,1.137507251,0.079,0.04,1.64E-08,0.440155564,1.571162371
Tafa2,6.40E-32,0.626251566,0.641,0.555,1.70E-27,0.554902531,1.613737657
Pip5kl1,1.91E-30,0.817445445,0.268,0.165,5.08E-26,0.54163846,1.620489236
Samd4,1.11E-160,1.142946493,0.745,0.552,2.96E-156,0.653664156,1.654038978
Cntnap5c,9.36E-41,0.703128623,0.711,0.649,2.49E-36,0.53907685,1.658393565
Jun,1.88E-35,1.367384954,0.196,0.099,4.99E-31,0.365743208,1.717112909
Stmn4,3.63E-60,0.895711083,0.531,0.387,9.64E-56,0.735705766,1.72247091
Atp1a4,4.67E-13,1.735371781,0.056,0.024,1.24E-08,0.596772074,1.779046733
Htr2c,9.12E-15,0.759355578,0.291,0.224,2.42E-10,0.526271083,1.825359539
Marchf1,1.97E-117,2.493934769,0.354,0.144,5.23E-113,0.803940574,1.842511866
Casq1,5.30E-07,0.612530797,0.139,0.103,0.014098206,0.659291943,1.85520197
Pkp2,3.02E-58,1.162657508,0.382,0.225,8.03E-54,1.025430688,1.908850022
Arid5a,6.20E-19,1.500847927,0.087,0.038,1.65E-14,0,1.918894237
Nme8,8.63E-13,1.498003063,0.055,0.023,2.29E-08,0.591784881,1.936964397
Klhl1,1.56E-80,1.782717423,0.366,0.192,4.15E-76,0.820491601,1.94309064
Slc44a5,4.09E-28,1.535948533,0.179,0.096,1.09E-23,0.897050529,2.422363793
Dusp16,3.76E-145,1.853727391,0.389,0.137,1.00E-140,1.035798072,2.516015571
F13a1,1.48E-14,1.607664272,0.071,0.032,3.94E-10,1.12583991,2.742862175
Hrk,6.37E-46,1.772654285,0.169,0.066,1.69E-41,1.383481458,2.831494714
Creb5,1.61E-111,2.542368803,0.221,0.046,4.29E-107,2.609380143,4.790270623
4930509J09Rik,3.40E-34,0.577077982,0.658,0.577,9.03E-30,0,0
Aim2,7.37E-08,0.573479714,0.197,0.154,0.001958519,-0.503280642,0
Map4k4,4.05E-50,0.57268038,0.697,0.591,1.08E-45,0,0
Nr6a1os,5.05E-13,0.572107177,0.389,0.334,1.34E-08,0,0
Tek,2.71E-32,0.570225851,0.647,0.572,7.20E-28,0,0
2610203C22Rik,7.58E-10,0.570187896,0.266,0.215,2.02E-05,-0.446197778,0
Fntb,6.85E-23,0.569056047,0.464,0.38,1.82E-18,0,0
Cemip,2.29E-34,0.567738847,0.629,0.554,6.09E-30,0,0.39598639
Tcerg1l,8.36E-61,0.56690798,0.787,0.711,2.22E-56,0,0
Plxna4os3,8.75E-18,0.566777475,0.457,0.382,2.33E-13,0,0
4930455C13Rik,1.92E-26,0.566081026,0.533,0.449,5.11E-22,0,0
AY036118,5.40E-69,0.565147283,0.773,0.658,1.44E-64,0,0
CT009536.1,7.75E-08,0.561834651,0.195,0.153,0.002060858,0,0
Olfr239,5.69E-08,0.561031214,0.268,0.227,0.001513315,0,0
Agrp,8.14E-18,0.559477092,0.467,0.397,2.16E-13,0,0
Rtl1,4.93E-26,0.558221484,0.516,0.43,1.31E-21,-0.485571,0
4933424G05Rik,6.35E-14,0.556951151,0.403,0.344,1.69E-09,0,0
A330015K06Rik,5.90E-35,0.555626483,0.726,0.652,1.57E-30,-0.370945337,0
Trps1,6.26E-41,0.55429233,0.706,0.633,1.66E-36,0,1.003190118
Arid1a,1.16E-28,0.553408559,0.559,0.474,3.09E-24,0,0
Hacd4,1.56E-31,0.55319788,0.61,0.522,4.14E-27,0,0
Ntng2,5.99E-07,0.552001917,0.13,0.094,0.015926268,0.541048281,0
Fbxl7,1.57E-13,0.551807114,0.343,0.279,4.17E-09,0,0
Bscl2,1.68E-10,0.544554154,0.304,0.251,4.47E-06,0,0.553717371
P2ry12,7.88E-10,0.544360963,0.358,0.311,2.09E-05,-0.345499273,0
4921534H16Rik,1.76E-35,0.543270667,0.71,0.629,4.68E-31,0.379457888,0.623658836
Galnt16,4.80E-71,0.542227398,0.841,0.771,1.28E-66,0.529873758,0.758004696
Man2b1,1.02E-10,0.541087105,0.359,0.306,2.71E-06,0.357294014,0.928204366
Mxi1,1.77E-18,0.534673885,0.465,0.396,4.71E-14,0,0
1810062O18Rik,2.52E-08,0.533967668,0.194,0.149,0.000670197,0,0
4930480K15Rik,1.66E-10,0.530832044,0.318,0.265,4.42E-06,-0.734589946,0
4930473A02Rik,6.96E-11,0.530648379,0.32,0.264,1.85E-06,0,0
Dtx4,4.82E-13,0.529603371,0.294,0.228,1.28E-08,0,0
Rgma,3.92E-14,0.529419315,0.399,0.331,1.04E-09,0,0.781430276
Vat1l,1.90E-10,0.528928345,0.281,0.225,5.04E-06,0.328555238,0
Azin2,6.57E-37,0.527706908,0.689,0.61,1.75E-32,0.364899178,1.026142484
4930506C21Rik,3.42E-08,0.525378093,0.256,0.21,0.00091031,-0.377328892,-0.385569567
Ctnna3,1.46E-120,0.524680102,0.993,0.976,3.88E-116,0,0
Tbc1d1,2.52E-17,0.519472518,0.489,0.426,6.70E-13,0.500853117,1.095914565
Slc16a4,1.80E-09,0.512881497,0.33,0.281,4.78E-05,0,0
Rtn4rl1,3.28E-22,0.507908226,0.567,0.506,8.72E-18,0.508455404,0.909627814
4933413L06Rik,2.26E-47,0.507507854,0.841,0.793,6.00E-43,0,0
Elk3,2.90E-08,0.506485367,0.305,0.262,0.000772053,-0.345838008,0
Hs3st5,4.63E-10,0.506481502,0.603,0.587,1.23E-05,0.463613415,1.674694121
Ccdc73,2.97E-10,0.506405952,0.311,0.257,7.91E-06,0,0
Cryl1,1.94E-10,0.505134462,0.349,0.297,5.15E-06,0,0.46995516
Gss,3.74E-12,0.503939338,0.406,0.355,9.93E-08,0,0
Dpyd,2.18E-38,0.503441538,0.774,0.726,5.79E-34,0,0.426686346
Mkln1os,9.88E-17,0.502561836,0.479,0.418,2.63E-12,0,0
Il15ra,3.17E-08,0.50227561,0.231,0.185,0.000842141,0,0
9630028H03Rik,2.66E-60,0.501651199,0.913,0.875,7.07E-56,-0.330216818,0
Lyn,1.27E-08,0.499687561,0.388,0.349,0.000338684,0,0.365799834
4-Mar,1.49E-14,0.499298774,0.405,0.341,3.96E-10,0,0.579190671
Setd7,2.23E-24,0.499132211,0.627,0.568,5.92E-20,0,0
Acr,2.60E-07,0.497118845,0.134,0.097,0.006917524,0,0.678312211
Leng9,6.54E-08,0.496605658,0.366,0.33,0.001738359,0,0
Asap2,3.49E-67,0.496477619,0.841,0.782,9.27E-63,0,0.590156508
Hcrtr2,8.86E-09,0.496433064,0.244,0.193,0.000235448,0,0
Smad3,9.13E-27,0.49465115,0.615,0.537,2.43E-22,0.408428026,0.527828788
Kcnk9,1.88E-13,0.494346474,0.412,0.356,5.01E-09,0,0
1700111E14Rik,9.79E-50,0.494331599,0.824,0.749,2.60E-45,0,0
Hivep3,1.32E-163,0.49426725,0.988,0.974,3.51E-159,0,0.453576072
Plxnc1,1.19E-12,0.491313081,0.39,0.333,3.17E-08,0,0
Pik3r3,5.15E-32,0.487860069,0.65,0.574,1.37E-27,0,0
Slc4a3,2.74E-27,0.48663717,0.635,0.556,7.29E-23,-0.33002275,0
Abhd6,7.20E-29,0.486025585,0.64,0.576,1.91E-24,0,0
1700085D07Rik,6.85E-23,0.483946985,0.657,0.598,1.82E-18,0,0
4930595D18Rik,1.32E-07,0.482306754,0.301,0.261,0.003520349,-0.400191727,0
Dnah9,9.86E-10,0.481752249,0.412,0.369,2.62E-05,0,0
Vldlr,6.01E-07,0.480606504,0.224,0.184,0.01597954,0,0
Arl15,7.33E-87,0.478962919,0.94,0.911,1.95E-82,0,0
Lpp,1.43E-45,0.478776101,0.765,0.705,3.81E-41,0,0
Rps6kl1,3.33E-14,0.477620527,0.398,0.329,8.85E-10,0.396979559,0.798146466
4930512B01Rik,7.28E-10,0.473647893,0.367,0.32,1.93E-05,0,0
Galntl6,1.66E-44,0.472892905,0.854,0.808,4.42E-40,0,0
Bcl9,7.57E-12,0.472664415,0.412,0.358,2.01E-07,0,0.435706769
Spon1,5.51E-10,0.470116934,0.348,0.292,1.46E-05,0,0
Ammecr1l,3.03E-13,0.465474713,0.443,0.381,8.05E-09,0,0.361993429
Kansl1l,5.11E-38,0.464210579,0.772,0.706,1.36E-33,0,0
Pde9a,7.82E-08,0.461933085,0.355,0.313,0.002079208,0.349627294,0
1700080N15Rik,2.62E-08,0.460415415,0.318,0.272,0.000697662,0,0
Ncoa7,5.55E-79,0.458238983,0.92,0.884,1.47E-74,0,0.485326797
Cntnap5b,1.21E-26,0.457977691,0.821,0.788,3.21E-22,0,0
Tspan7,1.72E-88,0.457758993,0.952,0.93,4.57E-84,0,0.577400405
Grip1,3.42E-22,0.457563973,0.717,0.682,9.10E-18,0,0
Tanc1,9.29E-46,0.455405395,0.798,0.746,2.47E-41,0.396766363,0
Cars,1.07E-10,0.454795315,0.444,0.395,2.84E-06,0,0.866205198
Itgbl1,1.54E-13,0.45468298,0.553,0.501,4.10E-09,0,0
Rspo3,2.47E-19,0.452314998,0.605,0.546,6.58E-15,0,0
Tgfb2,2.88E-07,0.452312562,0.306,0.266,0.007669651,0,0
Ube4bos1,2.28E-09,0.452062566,0.467,0.428,6.06E-05,0,0
Slc4a7,2.70E-24,0.450199695,0.615,0.551,7.19E-20,0,0
6530409C15Rik,9.72E-16,0.449313344,0.516,0.453,2.59E-11,0,0
5530401A14Rik,8.26E-11,0.447128923,0.473,0.43,2.19E-06,0,0
Cdh13,1.58E-90,0.445088967,0.971,0.943,4.20E-86,0,0
Mrtfa,3.89E-87,0.44347143,0.926,0.894,1.03E-82,0.44430892,0.687678187
Kcna1,3.76E-32,0.442994005,0.695,0.637,1.00E-27,0,0
Gse1,5.10E-70,0.440936989,0.918,0.862,1.36E-65,0.604817749,0.832451971
Kcnt1,8.24E-20,0.440703622,0.579,0.518,2.19E-15,0,0
Sphkap,3.28E-60,0.439795851,0.933,0.914,8.73E-56,0,0.475710056
Angptl2,5.70E-16,0.439003731,0.579,0.52,1.51E-11,0,0
Diaph1,1.45E-12,0.436684507,0.463,0.404,3.86E-08,0,0
Ctnna1,4.26E-08,0.435471934,0.375,0.335,0.001133303,0,0
A330040F15Rik,4.15E-07,0.435403778,0.2,0.159,0.011042391,0,0
Map3k4,1.40E-29,0.43534772,0.676,0.618,3.73E-25,0,0
Glod4,4.32E-08,0.434834014,0.343,0.3,0.001148166,0,0.703848978
Galnt13,1.33E-60,0.434688709,0.935,0.908,3.54E-56,0,0
Iqgap2,6.06E-86,0.432643719,0.953,0.934,1.61E-81,0.476386918,0.788941979
Sema4d,1.07E-11,0.43263153,0.444,0.392,2.85E-07,0,0
Dync1li2,1.92E-33,0.432490221,0.728,0.664,5.10E-29,0,0.602671476
Gria1,1.20E-168,0.430822561,0.996,0.995,3.20E-164,0,0.410835529
Cobl,5.84E-107,0.429909215,0.968,0.953,1.55E-102,0,0.565629974
Pak3,9.48E-100,0.429404156,0.965,0.944,2.52E-95,0,0
Lncpint,2.73E-189,0.426372202,0.995,0.991,7.25E-185,0,0
Mctp1,2.68E-44,0.422498129,0.878,0.849,7.13E-40,0,0
Asb3,3.69E-35,0.419269644,0.779,0.727,9.80E-31,0,0
Rsph14,8.74E-10,0.417034141,0.391,0.338,2.32E-05,0,0
Pak1,8.52E-72,0.417017048,0.936,0.903,2.27E-67,0,0
Rhbdl3,1.93E-23,0.415912099,0.696,0.663,5.12E-19,0.441517374,0.432783834
Usp31,6.49E-32,0.415110272,0.742,0.69,1.73E-27,0,0.518800091
Sel1l3,1.04E-49,0.412438902,0.851,0.808,2.78E-45,0,0
Cbfa2t3,7.23E-07,0.41155111,0.316,0.275,0.019223868,0,0
Bbx,4.36E-20,0.410887418,0.621,0.565,1.16E-15,0,0
Cadps2,4.11E-20,0.408067663,0.663,0.607,1.09E-15,0,0
